TITLE,TYPE,RELEASE YEAR,COUNTRY PRODUCED,CAST,RATING,DURATION,GENRE,DESCRIPTION
Handsome: A Netflix Mystery Movie,Movie,2017,United States,"Jeff Garlin, Natasha Lyonne, Amy Sedaris, Steven Weber, Christine Woods, Eddie Pepitone, Timm Sharp, Brad Morris, Leah Remini, Ava Acres",TV-MA,81 min,Comedies,Homicide detective Gene Handsome sets out to solve a woman's murder while searching for clues about what's missing from his personal life.
Saving Capitalism,Movie,2017,United States,Robert Reich,TV-PG,73 min,Documentaries,Former Secretary of Labor Robert Reich meets with Americans from all walks of life as he chronicles a seismic shift in the nation's economy.
The Magic Pill,Movie,2017,"United States, Australia, South Africa, United Kingdom","Pete Evans, William Davis, Loren Cordain",TV-PG,90 min,Documentaries,"Doctors, farmers, chefs and others weigh in on the controversial ketogenic diet and its potential to eradicate common illnesses."
Brian Regan: Nunchucks and Flamethrowers,Movie,2017,United States,Brian Regan,TV-PG,61 min,Stand-Up Comedy,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places."
Hickok,Movie,2017,United States,"Luke Hemsworth, Trace Adkins, Kris Kristofferson, Bruce Dern, Cameron Richardson, Kaiwi Lyman-Mersereau, Hunter Fischer, Robert Catrini, Britain Simons",TV-MA,88 min,Action & Adventure,"While serving as the marshal of rowdy Abilene, Kansas, ""Wild Bill"" Hickok uses guns and gall to tidy up the lawless frontier town."
Tramps,Movie,2017,United States,"Callum Turner, Grace Van Patten, Michal Vondel, Mike Birbiglia, Margaret Colin, Louis Cancelmi, Rachel Zeiger-Haag, Dane Martinez",TV-MA,83 min,"Independent Movies, Romantic Movies","Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong."
Reign,TV Show,2017,United States,"Adelaide Kane, Megan Follows, Torrance Coombs, Toby Regbo, Jenessa Grant, Celina Sinden, Caitlin Stasey, Anna Popplewell, Alan Van Sprang, Rossif Sutherland, Jonathan Keltz, Sean Teale, Craig Parker",TV-14,4 Seasons,TV Dramas,"This vivid historical drama series tells of the rise to power of Mary, Queen of Scots, amid a court full of sexual and political intrigue."
Sandy Wexler,Movie,2017,United States,"Adam Sandler, Jennifer Hudson, Kevin James, Terry Crews, Rob Schneider, Colin Quinn, Nick Swardson, Lamorne Morris, Arsenio Hall, Jamie Gray Hyder",TV-14,131 min,Comedies,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off."
Burning Sands,Movie,2017,United States,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Serayah, Tosin Cole, Malik Bazille, Octavius J. Johnson, Davyon St. Usaire, Mitchell Edwards, Nafessa Williams, Christian Robinson, Imani Hakim, Raquel Bianca John",TV-MA,102 min,"Dramas, Independent Movies",Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.
Buddy Thunderstruck,TV Show,2017,United States,"Brian Atkinson, Ted Raimi, Harry Chaskin, Justin Michael, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",TV-PG,1 Season,"Kids' TV, TV Comedies","Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit."
VeggieTales in the City,TV Show,2017,United States,"Phil Vischer, Mike Nawrocki, Rob Paulsen, Tress MacNeille",TV-Y,2 Seasons,Kids' TV,"With exciting trips to the big city, the ski slopes and beyond, the Veggie friends expand their horizons and learn valuable faith-based lessons."
Amy Schumer: The Leather Special,Movie,2017,United States,Amy Schumer,TV-MA,57 min,Stand-Up Comedy,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater."
Master of None,TV Show,2017,United States,"Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale",TV-MA,2 Seasons,TV Comedies,Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
Five Came Back,TV Show,2017,United States,"Steven Spielberg, Guillermo del Toro, Lawrence Kasdan, Francis Ford Coppola, Paul Greengrass, Meryl Streep",TV-MA,1 Season,Docuseries,Five acclaimed contemporary directors tell the story of five legendary Hollywood filmmakers who enlisted in the armed forces to document World War II.
A Christmas Prince,Movie,2017,United States,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey",TV-PG,92 min,"Children & Family Movies, Dramas, Romantic Movies",Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
Small Crimes,Movie,2017,"Canada, United States","Nikolaj Coster-Waldau, Gary Cole, Molly Parker, Macon Blair, Pat Healy, Jacki Weaver, Robert Forster",TV-MA,95 min,"Dramas, Thrillers","After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past."
Dave Chappelle,TV Show,2017,United States,Dave Chappelle,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
Haters Back Off,TV Show,2017,United States,"Colleen Ballinger, Angela Kinsey, Steve Little, Francesca Reale, Erik Stocklin, Matt Besser",TV-PG,2 Seasons,"TV Comedies, Teen TV Shows","Determined to make it big, the confident but clueless Miranda Sings embarks on an unlikely quest for fame in this offbeat comedy."
The Most Hated Woman in America,Movie,2017,United States,"Melissa Leo, Josh Lucas, Vincent Kartheiser, Juno Temple, Adam Scott, Peter Fonda, Sally Kirkland, Rory Cochrane",TV-MA,93 min,Dramas,"This drama follows the controversial life of outspoken atheist Madalyn Murray O'Hair, from her landmark court battles to her infamous abduction."
The Discovery,Movie,2017,United States,"Jason Segel, Rooney Mara, Robert Redford, Riley Keough, Jesse Plemons, Ron Canada",TV-MA,102 min,"Dramas, Independent Movies, Romantic Movies","A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman."
The Trap,Movie,2017,United States,"T.I., Mike Epps, Loretta Devine, Queen Latifah, Teyana Taylor, Meagan Tandy, Stephen Bishop, Roland Powell, Joel Rush",TV-MA,91 min,Comedies,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
Lucas Brothers: On Drugs,Movie,2017,United States,"Keith Lucas, Kenny Lucas",TV-MA,50 min,Stand-Up Comedy,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson."
World of Winx,TV Show,2017,"Italy, United States","Haven Paschall, Alysha Deslorieux, Jessica Paquet, Eileen Stevens, Kate Bristol, Saskia Maarleveld, Brittany Pressley, Billy Bob Thompson, Marc Thompson, Suzy Myers, Jason Griffith, Samara Naeymi, Wayne Grayson, Alyson Leigh Rosenfeld, Abe Goldfarb, Lisa Flanagan",TV-Y7,2 Seasons,Kids' TV,"The reality show ""WOW!"" engages the Winx in their mission, starting an undercover, worldly journey in order to make talented kids' dreams come true."
Luna Petunia,TV Show,2017,United States,"Ciara Alexys, Katie Griffin, Cory Doran, Jonah Wineberg",TV-Y,3 Seasons,Kids' TV,"With help from her magic toy chest, fun-loving Luna Petunia enters the fantastic land of Amazia, where adventures, friendship and learning await."
Rodney King,Movie,2017,United States,Roger Guenveur Smith,TV-MA,53 min,Dramas,Roger Guenveur Smith gives voice to the man at the center of the brutal police beating that helped fuel the 1992 LA riots. Spike Lee directs.
Follow Me,Movie,2017,"United Arab Emirates, United States, United Kingdom",Asri Bendacha,TV-MA,86 min,"Documentaries, International Movies","Aspiring to be an internet celebrity and make big bucks, a filmmaker travels the world to learn the tricks of the trade from social media influencers."
Maria Bamford: Old Baby,Movie,2017,United States,Maria Bamford,TV-MA,64 min,Stand-Up Comedy,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special."
Sofia the First,TV Show,2017,United States,"Ariel Winter, Darcy Rose Byrnes, Sara Ramirez, Tim Gunn, Coco Grayson, Travis Willingham, Wayne Brady, Jess Harnell, Meghan Strange, Zach Callison",TV-Y,4 Seasons,Kids' TV,"When her commoner mother marries the king, average-girl Sofia finds that being a real princess isn't all it's cracked up to be."
Thor: Ragnarok,Movie,2017,United States,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba, Jeff Goldblum, Tessa Thompson, Karl Urban, Mark Ruffalo, Anthony Hopkins, Benedict Cumberbatch, Taika Waititi, Rachel House, Clancy Brown, Tadanobu Asano, Ray Stevenson, Zachary Levi, Luke Hemsworth, Sam Neill",PG-13,131 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","To save Asgard from a bloodthirsty goddess of death, the mighty Thor will have to battle his way to freedom and find a way back home."
Longmire,TV Show,2017,United States,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Bailey Chase, Cassidy Freeman, Adam Bartley, Louanne Stephens",TV-14,6 Seasons,"Crime TV Shows, TV Dramas",This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.
Flaked,TV Show,2017,United States,"Will Arnett, David Sullivan, Ruth Kearney, George Basil, Lina Esco, Travis Mills, Robert Wisdom, Mark Boone Junior, Matthew Willig, Heather Graham, Kirstie Alley, Sab Shimono, Christopher Mintz-Plasse, Minerva Garcia, Jeff Daniel Phillips",TV-MA,2 Seasons,"TV Comedies, TV Dramas","In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage."
Narcos,TV Show,2017,"United States, Colombia, Mexico","Wagner Moura, Pedro Pascal, Boyd Holbrook, Damián Alcázar, Alberto Ammann, Francisco Denis, Pêpê Rapazote, Matias Varela, Michael Stahl-David, Matt Whelan, Arturo Castro, Javier Cámara, José María Yazpik, Eric Lange, Brett Cullen, Miguel Ángel Silvestre, Kerry Bishé, Paulina Gaitán, Cristina Umaña, Paulina García, Juan Sebastián Calero, Joanna Christie, Taliana Vargas, Andrea Londo, Manolo Cardona, Diego Cataño, Raúl Méndez, Bruno Bichir, Stephanie Sigman, Florencia Lozano, Juan Pablo Raba, Leynar Gomez, Konstantin Melikhov, Martina García, Maurice Compte, Mauricio Cujar, Jorge Monterrosa, Germán Jaramillo, Juan Pablo Shuk, Julián Díaz, Alejandro Buitrago, Federico Rivera",TV-MA,3 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",The true story of Colombia's infamously violent and powerful drug cartels fuels this gritty gangster drama series.
The Bye Bye Man,Movie,2017,"United States, China","Douglas Smith, Lucien Laviscount, Cressida Bonas, Michael Trucco, Doug Jones, Carrie-Anne Moss, Faye Dunaway, Jenna Kanell, Erica Tremblay, Cleo King",PG-13,96 min,"Horror Movies, Thrillers",Three college students move into an off-campus house and discover they've unwittingly unleashed a supernatural killer known as the Bye Bye Man.
Bigger Fatter Liar,Movie,2017,United States,"Ricky Garcia, Jodelle Ferland, Barry Bostwick, Fiona Vroom, Kevin O'Grady, Karen Holness",PG,95 min,"Children & Family Movies, Comedies","When his video game concept is stolen by a dishonest executive, a teenage chronic liar sets out to prove that he's telling the truth, for once."
How to Be a Latin Lover,Movie,2017,"Mexico, United States","Eugenio Derbez, Salma Hayek, Rob Lowe, Raphael Alejandro, Kristen Bell, Raquel Welch, Linda Lavin, Renée Taylor, Rob Riggle, Rob Corddry, Rob Huebel, Michael Cera, Michaela Watkins",PG-13,116 min,Comedies,"When an aging Lothario gets the boot from his sugar mama, he must pull out all the stops to find a new female sponsor."
The Lamb,Movie,2017,United States,"Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez, Zachary Levi, Christopher Plummer, Ving Rhames, Gabriel Iglesias, Kelly Clarkson, Anthony Anderson, Patricia Heaton, Kris Kristofferson, Kristin Chenoweth, Mariah Carey, Oprah Winfrey, Tyler Perry, Tracy Morgan",PG,86 min,"Children & Family Movies, Faith & Spirituality",A big-dreaming donkey escapes his menial existence and befriends some free-spirited animal pals in this imaginative retelling of the Nativity Story.
Small Town Crime,Movie,2017,United States,"John Hawkes, Anthony Anderson, Octavia Spencer, Robert Forster, Clifton Collins Jr., Jeremy Ratchford, James Lafferty, Michael Vartan, Daniel Sunjata, Don Harvey, Stefanie Scott, Caity Lotz, Dale Dickey",R,92 min,Thrillers,"When a disgraced ex-cop discovers a dying woman, he's compelled to track down her killer – an act of self-redemption that takes him down a dark path."
Behind the Curtain: Todrick Hall,Movie,2017,United States,Todrick Hall,TV-MA,100 min,"Documentaries, LGBTQ Movies, Music & Musicals",Follow singer and YouTube sensation Todrick Hall as he launches an original musical based on growing up gay in Texas and finding showbiz success.
Mohawk,Movie,2017,United States,"Kaniehtiio Horn, Eamon Farren, Justin Rain, Ezra Buzzington, Noah Segan, Ian Colletti, Robert Longstreet, Jon Huber, Jack Gwaltney, Sheri Foster, David La Haye",TV-MA,92 min,"Action & Adventure, Horror Movies, Independent Movies","During the War of 1812, two Native Americans and their British ally are pursued into enemy territory by American soldiers thirsting for revenge."
Somewhere Between,TV Show,2017,United States,"Paula Patton, Devon Sawa, JR Bourne, Aria Birch, Catherine Barroll, Samantha Ferris, Imogen Tear, Daniel Bacon, Carmel Amit, Noel Johansen, Rebecca Staab",TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","A local news producer is given one chance to relive a deadly week and stop a serial killer. If she fails, she'll lose her daughter forever."
Gypsy,TV Show,2017,"United States, United Kingdom","Naomi Watts, Billy Crudup, Sophie Cookson, Karl Glusman, Poorna Jagannathan, Brooke Bloom, Lucy Boynton, Melanie Liburd, Brenda Vaccaro, Maren Heary, Blythe Danner",TV-MA,1 Season,TV Dramas,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.
Savage Dog,Movie,2017,United States,"Scott Adkins, Juju Chan, Marko Zaror, Vladimir Kulich, Charles Fathy, Matthew Marsden, Keith David, Luke Massy",TV-MA,95 min,"Action & Adventure, Independent Movies",A former professional boxer serving time in a brutal labor camp must fight incredible odds to gain his freedom and avenge an act of violence.
Cloudy with a Chance of Meatballs,TV Show,2017,"United States, Canada","Mark Edwards, Katie Griffin, Seán Cullen, David Berni, Clé Bennett, Patrick McKenna",TV-Y7,1 Season,"Kids' TV, TV Comedies","Teenager Flint Lockwood has a knack for invention. With help from his pal Sam Sparks, he might even change the world – if he doesn't break it first."
Survivors Guide to Prison,Movie,2017,United States,Susan Sarandon,TV-MA,103 min,Documentaries,"Former inmates, officers and celebrities critique the U.S. prison system in this documentary packaged as a how-to handbook for the incarcerated."
Hey Arnold! The Jungle Movie,Movie,2017,"United States, South Korea, Japan","Mason Vale Cotton, Benjamin Flores Jr., Francesca Smith, Alfred Molina, Dan Castellaneta, Tress MacNeille, Craig Bartlett, Carlos Alazraqui",TV-PG,81 min,"Children & Family Movies, Comedies","When Arnold and his crew win a trip to San Lorenzo, their adventure in the wild forces them to take the same risky path as Arnold's missing parents."
Bottom of the World,Movie,2017,"Canada, United States","Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kelly Pendygraft, Mark Sivertsen, Jon McLaren",TV-MA,84 min,"Dramas, Independent Movies, Thrillers","En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality."
I Am Jane Doe,Movie,2017,United States,Jessica Chastain,TV-14,98 min,Documentaries,This intense documentary follows real cases of American girls enslaved in the child sex trade through ads in a newspaper's online classified section.
War Machine,Movie,2017,United States,"Brad Pitt, Topher Grace, Emory Cohen, John Magaro, Scoot McNairy, Anthony Michael Hall, Will Poulter",TV-MA,123 min,"Comedies, Dramas","When a proud general is tasked with winning an unpopular war, he takes the challenge head-on, not knowing that hubris may be his own worst enemy."
Shimmer Lake,Movie,2017,"Canada, United States","Benjamin Walker, Rainn Wilson, Rob Corddry, Adam Pally, Ron Livingston, John Michael Higgins, Wyatt Russell, Stephanie Sigman, Mark Rendall, Isabel Dove, Angela Vint",TV-MA,87 min,"Dramas, Independent Movies, Thrillers","Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother."
Escape from Mr. Lemoncello’s Library,Movie,2017,United States,"Casey Simpson, Breanna Yde, Klarke Pipkin, Angel Luis Rivera Jr., Russell Roberts, Ty Consiglio, Hayley Scherpenisse, Patti Allan, Katey Hoffman",TV-G,69 min,Children & Family Movies,An eccentric game designer builds a library full of traps and tricks for a group of kids who score the chance to navigate his elaborate scavenger hunt.
Lady Dynamite,TV Show,2017,United States,"Maria Bamford, Fred Melamed, Mary Kay Place, Ed Begley Jr., Ana Gasteyer, Lennon Parham, Bridget Everett, Mo Collins, June Diane Raphael, Dean Cain, Ólafur Darri Ólafsson, Patton Oswalt, Keith Lucas, Kenny Lucas, Sarah Silverman, Mira Sorvino, Jon Cryer, Brandon Routh, Adam Pally, Tig Notaro, Andy Samberg, David Spade, Fred Armisen, Jason Mantzoukas, Jenny Slate, Judd Apatow, Judy Greer, Weird Al Yankovic",TV-MA,2 Seasons,TV Comedies,Comedian Maria Bamford stars in a series inspired by her own life. It's the sometimes surreal story of a woman who loses – and then finds – her s**t.
Star Wars: Episode VIII: The Last Jedi,Movie,2017,United States,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Frank Oz, Benicio Del Toro, Warwick Davis, Noah Segan, Jimmy Vee, Joonas Suotamo, Joseph Gordon-Levitt, Tim Rose, Paul Kasey, Matthew Sharp, Adrian Edmondson, Amanda Lawrence, Justin Theroux",PG-13,152 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy","As the remnants of the Resistance flee Kylo Ren and the First Order, Rey seeks out Luke Skywalker – but he wants nothing more to do with the Force."
Tracy Morgan: Staying Alive,Movie,2017,United States,Tracy Morgan,TV-MA,59 min,Stand-Up Comedy,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."
Frat Star,Movie,2017,United States,"Connor Lawrence, Justin Mark, Cathryn Dylan, Chris Elliott, Tyler Weaks, Max Sheldon, Austin Ramsey, Peter O'Connor, Nicole Balsam, Kaitlin Mesh",TV-MA,85 min,Comedies,A freshman uninterested in joining a fraternity is convinced to pledge by a rich roommate who introduces him to a world darker than he ever dreamed.
Mudbound,Movie,2017,United States,"Carey Mulligan, Jason Clarke, Mary J. Blige, Garrett Hedlund, Jason Mitchell, Rob Morgan, Jonathan Banks",R,135 min,"Dramas, Independent Movies","Two Mississippi families – one black, one white – confront the brutal realities of prejudice, farming and friendship in a divided World War II era."
Equestria Girls: Tales of Canterlot High,TV Show,2017,"United States, Canada","Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Rebecca Shoichet, Andrew Toth, Ali Liebert",TV-Y,1 Season,"Kids' TV, TV Comedies","In an alternate universe Equestria, the ponies have become teenage girls who must learn what it means to be human while attending Canterlot High."
Barbie: Video Game Hero,Movie,2017,United States,"Erica Lindbeck, Sienna Bohn, Shannon Chan-Kent, Michael Dobson, Alyssya Swales, Rebekah Asselstine, Brad Swaile, Sam Vincent, Ingrid Nilson, Nesta Cooper",TV-Y,72 min,Children & Family Movies,"Pulled into her favorite video game, Barbie becomes a fun, roller-skating heroine who's battling a sinister emoji that's trying to take over."
Chris D'Elia: Man on Fire,Movie,2017,United States,Chris D'Elia,TV-MA,66 min,Stand-Up Comedy,"Unbridled comic Chris D'Elia reconsiders his approach to major life events like marriage, not having kids and buying pants for your friends."
Okja,Movie,2017,"South Korea, United States","Tilda Swinton, Jake Gyllenhaal, An Seo Hyun, Paul Dano, Steven Yeun, Byun Heebong, Lily Collins, Yoon Je Moon, Shirley Henderson, Daniel Henshall, Devon Bostick, Woo Shik Choi, Giancarlo Esposito",TV-MA,121 min,"Action & Adventure, Comedies, Dramas","A gentle giant and the girl who raised her are caught in the crossfire between animal activism, corporate greed and scientific ethics."
Jo Koy: Live from Seattle,Movie,2017,United States,Jo Koy,TV-MA,63 min,Stand-Up Comedy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it."
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",Movie,2017,"Canada, United States",Jim Carrey,TV-MA,94 min,Documentaries,"Through the lens of his stunningly immersive performance as Andy Kaufman, Jim Carrey ponders the meaning of life, reality, identity and career."
Word Party,TV Show,2017,United States,"Victor Yerrid, Alice Dinnean, Alon Williams, Donna Kimball, John Munro Cameron, John Tartaglia, Arty Casas, Dorien Davies, Misty Rosas, Patina Miller",TV-Y,3 Seasons,Kids' TV,"Meet Bailey, Franny, Kip and Lulu. They're adorable baby animals, and they want you to join the party and help them learn!"
The Fosters,TV Show,2017,United States,"Teri Polo, Sherri Saum, Jake T. Austin, Hayden Byerly, David Lambert, Maia Mitchell, Danny Nucci, Cierra Ramirez, Madisen Beaty, Alex Saxon",TV-14,5 Seasons,TV Dramas,"This offbeat drama charts the ups and downs of an interracial lesbian couple and their multiethnic brood of biological, adopted and foster children."
Young & Hungry,TV Show,2017,United States,"Emily Osment, Kym Whitley, Rex Lee, Jonathan Sadowski, Aimee Carrero, Jesse McCartney, Ashley Tisdale",TV-14,5 Seasons,TV Comedies,"A female food blogger is hired as a personal chef by a young tech tycoon and faces a new menu of challenges, both inside and outside of the kitchen."
American Experience: Ruby Ridge,Movie,2017,United States,"Dave Hunt, Bo Gritz, Sara Weaver",TV-MA,53 min,Documentaries,"A botched attempt to arrest a white supremacist in Idaho results in a gun battle, a standoff and three deaths that galvanize public opinion in 1992."
Theo Von: No Offense,Movie,2016,United States,Theo Von,TV-MA,67 min,Stand-Up Comedy,"Southern charmer Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more."
American Crime Story: The People v. O.J. Simpson,TV Show,2016,United States,"Cuba Gooding Jr., Sarah Paulson, John Travolta, Courtney B. Vance, Sterling K. Brown, Kenneth Choi, Christian Clemenson, Bruce Greenwood, Nathan Lane, David Schwimmer, Chris Bauer, Jordana Brewster, Selma Blair, Connie Britton",TV-MA,1 Season,"Crime TV Shows, TV Dramas","This anthology series dramatizes historic criminal cases in the U.S., including the O.J. Simpson trial and Andrew Cunanan's 1997 murder spree."
The B-Side: Elsa Dorfman's Portrait Photography,Movie,2016,United States,Elsa Dorfman,TV-MA,76 min,Documentaries,"Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike."
Covered: Alive in Asia,Movie,2016,United States,Israel Houghton,TV-G,75 min,"Documentaries, Faith & Spirituality, Music & Musicals","Christian musician Israel Houghton leads his band Israel & New Breed on a tour supporting their newest album of multicultural, hybrid-genre songs."
The Bad Batch,Movie,2016,United States,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross",R,119 min,"Dramas, Independent Movies, Thrillers","Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals."
Paint It Black,Movie,2016,United States,"Alia Shawkat, Janet McTeer, Rhys Wakefield, Alfred Molina, Emily Rios, Nancy Kwan, John Roberts, Annabelle Attanasio, Ken Davitian",R,96 min,Dramas,"In the wake of a young artist’s suicide, his pianist mother and his despairing girlfriend square off in a living nightmare beset by guilt and blame."
LEGO Jurassic World: The Indominus Escape,Movie,2016,United States,"A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning",TV-Y7,25 min,"Children & Family Movies, Comedies",The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?
Indiscretion,Movie,2016,United States,"Mira Sorvino, Cary Elwes, Christopher Backus, Katherine McNamara, Lisa Gay Hamilton, Melora Walters, Buck Taylor, Shane Callahan",TV-MA,99 min,"Dramas, Thrillers","After a weekend fling with artist Victor, Veronica, a psychiatrist and politician's wife, becomes the target of Victor's dangerous romantic obsession."
The Black Room,Movie,2016,United States,"Natasha Henstridge, Lukas Hassel, Lin Shaye, Dominique Swain, Augie Duke, Caleb Scott, James Duval, Tiffany Shepis",TV-MA,95 min,Horror Movies,A couple's new dream home morphs into a nightmare after they learn that an evil and lustful spirit resides in their basement.
Officer Downe,Movie,2016,United States,"Kim Coates, Tyler Ross, Lauren Vélez, Reno Wilson, Bruno Gunn, Tracy Vilar, Sona Eyambe, Corey Taylor, Meadow Williams",R,91 min,Action & Adventure,Fallen Los Angeles police officer Terrence Downe finds new life as a secret weapon: a scientifically altered super-cop with unlimited lives.
Jack Taylor,TV Show,2016,"United States, Ireland","Iain Glen, Killian Scott, Nora-Jane Noone, Tara Breathnach, Frank O'Sullivan",TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor.
The Hurt Business,Movie,2016,United States,Kevin Costner,PG-13,111 min,"Documentaries, Sports Movies","Featuring legendary and up-and-coming MMA fighters, this documentary details the history of the brutal sport and the fighters' struggles and triumphs."
La Viuda Negra,TV Show,2016,"Colombia, Mexico, United States","Ana Serradilla, Julián Román, Ramiro Meneses, Juan Pablo Gamboa, Eileen Moreno, Luis Alfredo Velasco, Margarita Reyes, Alexander Gil, Luis Roberto Guzmán, Raúl Méndez",TV-14,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Beautiful and ruthless Griselda Blanco, known as the queen of cocaine, becomes Pablo Escobar's boss and governs a world of deceit and death."
A Boy Called Po,Movie,2016,United States,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George",PG,94 min,"Dramas, Sci-Fi & Fantasy","After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying."
Rainbow Time,Movie,2016,United States,"Linas Phillips, Melanie Lynskey, Timm Sharp, Tobin Bell, Jay Duplass, Lauren Weedman, Artemis Pebdani, Reagan Yates, Austin Fryberger",NR,92 min,"Comedies, Dramas, Independent Movies","A developmentally disabled man obsessed with the Fonz, guns and all things kinky poses a challenge for his arrogant brother when he moves in with him."
Enlighten Us,Movie,2016,United States,James Arthur Ray,TV-14,93 min,Documentaries,This documentary digs deep to recount the saga of the superstar self-help guru convicted of negligent homicide in the deaths of three followers.
Kill Ratio,Movie,2016,United States,"Tom Hopper, Amy Huberman, Lacy Moore, Brian McGuinness, Luke Pierucci, Nick Dunning",TV-MA,87 min,Action & Adventure,"Posing as a telecom salesman at a business conference, a CIA agent fights to protect a fledgling Eastern European democracy from a military coup."
Michael Che Matters,Movie,2016,United States,Michael Che,TV-MA,61 min,Stand-Up Comedy,"""SNL"" star Michael Che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in Brooklyn."
Comedy Bang! Bang!,TV Show,2016,United States,"Scott Aukerman, Reggie Watts",TV-14,5 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","Scott Aukerman brings his popular podcast Comedy Bang! Bang! to television, along with his co-host and bandleader, Reggie Watts."
Russell Peters: Almost Famous,Movie,2016,United States,Russell Peters,TV-MA,73 min,Stand-Up Comedy,"The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human."
